Date,Price,Open,High,Low,Vol.,Change %
"Dec 06, 2022",17089.3,"16,966.3","17,101.1","16,914.9",246.19K,0.72%
"Dec 05, 2022",16966.5,"17,106.9","17,395.2","16,886.9",268.72K,-0.85%
"Dec 04, 2022",17112.6,"16,884.8","17,198.1","16,881.6",197.12K,1.35%
"Dec 03, 2022",16884.5,"17,093.4","17,132.6","16,862.1",169.29K,-1.22%
"Dec 02, 2022",17093.6,"16,972.2","17,096.2","16,799.9",227.01K,0.72%
"Dec 01, 2022",16972.0,"17,163.4","17,244.7","16,868.9",266.14K,-1.12%
"Nov 30, 2022",17163.9,"16,440.8","17,215.5","16,433.2",348.22K,4.40%
"Nov 29, 2022",16440.4,"16,211.9","16,531.4","16,100.1",271.58K,1.41%
"Nov 28, 2022",16211.7,"16,426.1","16,481.4","16,013.5",284.84K,-1.30%
"Nov 27, 2022",16425.6,"16,456.4","16,595.4","16,414.6",173.25K,-0.19%
"Nov 26, 2022",16456.5,"16,512.3","16,686.3","16,387.9",194.94K,-0.34%
"Nov 25, 2022",16512.3,"16,600.6","16,611.8","16,360.9",204.07K,-0.54%
"Nov 24, 2022",16601.2,"16,604.9","16,785.6","16,472.0",229.59K,-0.14%
"Nov 23, 2022",16623.9,"16,216.9","16,677.6","16,162.3",305.08K,2.53%
"Nov 22, 2022",16212.9,"15,776.6","16,274.6","15,620.4",287.21K,2.77%
"Nov 21, 2022",15776.2,"16,278.6","16,287.9","15,504.2",372.15K,-3.13%
"Nov 20, 2022",16286.7,"16,699.3","16,749.3","16,209.2",172.83K,-2.47%
"Nov 19, 2022",16699.2,"16,652.2","16,814.9","16,608.9",114.89K,0.37%
"Nov 18, 2022",16638.3,"16,715.4","16,846.3","16,553.0",241.96K,-0.32%
"Nov 17, 2022",16691.2,"16,540.5","16,739.7","16,425.8",257.00K,0.91%
"Nov 16, 2022",16540.5,"16,895.4","16,993.4","16,408.2",295.73K,-2.10%
"Nov 15, 2022",16895.1,"16,615.0","17,112.0","16,543.9",337.15K,1.69%
"Nov 14, 2022",16613.7,"16,325.0","17,158.4","15,834.0",442.46K,1.77%
"Nov 13, 2022",16324.5,"16,803.9","16,946.5","16,274.9",210.80K,-2.80%
"Nov 12, 2022",16795.2,"17,049.9","17,100.8","16,633.9",192.91K,-1.49%
"Nov 11, 2022",17049.9,"17,589.1","17,679.4","16,435.5",466.35K,-3.07%
"Nov 10, 2022",17589.1,"15,887.0","18,138.2","15,799.3",720.74K,10.71%
"Nov 09, 2022",15886.9,"18,538.9","18,583.8","15,603.3",869.57K,-14.25%
"Nov 08, 2022",18527.4,"20,589.0","20,667.5","17,260.0",865.10K,-10.01%
"Nov 07, 2022",20589.0,"20,916.3","21,055.4","20,410.5",414.24K,-1.56%
"Nov 06, 2022",20916.3,"21,298.7","21,360.4","20,901.0",242.26K,-1.81%
"Nov 05, 2022",21301.6,"21,145.7","21,464.7","21,084.1",261.23K,0.74%
"Nov 04, 2022",21145.9,"20,206.4","21,281.9","20,184.6",499.50K,4.65%
"Nov 03, 2022",20206.4,"20,154.0","20,384.5","20,066.6",347.23K,0.26%
"Nov 02, 2022",20154.4,"20,482.9","20,778.3","20,065.8",420.23K,-1.61%
"Nov 01, 2022",20483.5,"20,496.1","20,676.6","20,348.1",302.72K,-0.06%
"Oct 31, 2022",20496.3,"20,626.0","20,822.4","20,260.0",327.47K,-0.63%
"Oct 30, 2022",20626.3,"20,809.4","20,922.3","20,522.5",207.63K,-0.88%
"Oct 29, 2022",20809.8,"20,594.2","21,038.1","20,561.9",276.54K,1.05%
"Oct 28, 2022",20594.4,"20,293.0","20,744.0","20,058.2",318.90K,1.49%
"Oct 27, 2022",20292.9,"20,769.5","20,867.9","20,231.6",365.49K,-2.29%
"Oct 26, 2022",20769.5,"20,086.8","20,981.5","20,062.9",427.99K,3.42%
"Oct 25, 2022",20082.7,"19,331.8","20,406.9","19,249.0",371.54K,3.89%
"Oct 24, 2022",19331.5,"19,571.2","19,588.6","19,177.2",286.94K,-1.22%
"Oct 23, 2022",19571.2,"19,204.8","19,680.9","19,092.5",180.63K,1.91%
"Oct 22, 2022",19204.8,"19,162.6","19,249.9","19,116.1",118.24K,0.22%
"Oct 21, 2022",19162.6,"19,042.9","19,245.5","18,703.3",294.66K,0.63%
"Oct 20, 2022",19042.9,"19,125.1","19,334.5","18,935.6",253.20K,-0.42%
"Oct 19, 2022",19123.9,"19,328.2","19,358.6","19,101.2",209.28K,-1.06%
"Oct 18, 2022",19328.2,"19,548.4","19,692.9","19,102.8",290.07K,-1.13%
"Oct 17, 2022",19548.2,"19,262.2","19,663.5","19,163.6",248.40K,1.49%
"Oct 16, 2022",19261.9,"19,068.8","19,411.9","19,066.0",140.95K,1.01%
"Oct 15, 2022",19068.7,"19,181.7","19,218.7","19,000.8",123.66K,-0.59%
"Oct 14, 2022",19181.8,"19,379.8","19,933.9","19,098.6",400.45K,-1.02%
"Oct 13, 2022",19379.8,"19,154.6","19,494.4","18,207.9",455.13K,1.17%
"Oct 12, 2022",19154.8,"19,058.5","19,212.6","19,010.6",242.18K,0.50%
"Oct 11, 2022",19059.1,"19,134.3","19,261.3","18,868.7",288.57K,-0.39%
"Oct 10, 2022",19134.6,"19,441.7","19,520.7","19,057.0",243.77K,-1.58%
"Oct 09, 2022",19441.0,"19,416.3","19,552.1","19,329.6",127.53K,0.13%
"Oct 08, 2022",19415.0,"19,530.2","19,612.2","19,274.7",113.50K,-0.60%
"Oct 07, 2022",19531.3,"19,962.4","20,051.4","19,352.1",263.50K,-2.13%
"Oct 06, 2022",19956.7,"20,157.5","20,436.7","19,873.7",370.60K,-1.00%
"Oct 05, 2022",20157.5,"20,340.5","20,353.8","19,761.7",352.76K,-0.90%
"Oct 04, 2022",20340.2,"19,629.7","20,436.1","19,506.4",368.17K,3.63%
"Oct 03, 2022",19628.3,"19,057.6","19,676.0","19,001.3",333.03K,3.02%
"Oct 02, 2022",19052.2,"19,311.9","19,389.9","18,937.3",222.82K,-1.34%
"Oct 01, 2022",19311.9,"19,422.9","19,480.3","19,172.6",173.91K,-0.57%
"Sep 30, 2022",19423.0,"19,593.4","20,174.9","19,208.9",490.29K,-0.87%
"Sep 29, 2022",19593.0,"19,420.2","19,631.5","18,877.9",449.57K,0.94%
"Sep 28, 2022",19411.0,"19,083.4","19,757.8","18,505.3",581.19K,1.73%
"Sep 27, 2022",19081.0,"19,228.8","20,361.2","18,850.4",660.12K,-0.75%
"Sep 26, 2022",19225.7,"18,803.1","19,304.8","18,695.2",516.03K,2.25%
"Sep 25, 2022",18803.2,"18,925.1","19,125.1","18,659.6",209.71K,-0.64%
"Sep 24, 2022",18925.2,"19,288.4","19,310.6","18,812.0",258.50K,-1.91%
"Sep 23, 2022",19293.5,"19,404.1","19,477.3","18,554.8",431.15K,-0.57%
"Sep 22, 2022",19404.0,"18,488.1","19,490.9","18,371.0",448.63K,4.95%
"Sep 21, 2022",18489.0,"18,875.1","19,758.4","18,191.8",446.85K,-2.03%
"Sep 20, 2022",18872.4,"19,538.9","19,626.3","18,742.6",361.18K,-3.41%
"Sep 19, 2022",19538.9,"19,417.4","19,666.6","18,277.8",423.43K,0.62%
"Sep 18, 2022",19418.8,"20,113.9","20,113.9","19,347.7",273.11K,-3.45%
"Sep 17, 2022",20113.5,"19,802.8","20,178.6","19,761.0",204.58K,1.57%
"Sep 16, 2022",19802.4,"19,701.9","19,883.0","19,352.9",315.59K,0.51%
"Sep 15, 2022",19701.7,"20,222.3","20,321.4","19,532.3",358.42K,-2.58%
"Sep 14, 2022",20222.5,"20,175.5","20,503.7","19,654.2",374.22K,0.23%
"Sep 13, 2022",20175.5,"22,395.3","22,702.5","19,909.6",485.32K,-9.91%
"Sep 12, 2022",22395.3,"21,836.6","22,465.4","21,581.6",431.98K,2.57%
"Sep 11, 2022",21834.9,"21,650.4","21,836.4","21,363.0",297.12K,0.85%
"Sep 10, 2022",21650.4,"21,363.8","21,790.6","21,139.9",331.12K,1.33%
"Sep 09, 2022",21365.2,"19,318.8","21,545.7","19,294.1",480.37K,10.60%
"Sep 08, 2022",19317.4,"19,281.5","19,444.7","19,034.5",291.43K,0.19%
"Sep 07, 2022",19281.5,"18,786.3","19,445.9","18,548.4",319.10K,2.64%
"Sep 06, 2022",18786.4,"19,793.4","20,169.3","18,723.3",402.43K,-5.09%
"Sep 05, 2022",19793.1,"19,999.9","20,042.9","19,650.7",238.71K,-1.03%
"Sep 04, 2022",19999.9,"19,832.2","20,017.8","19,594.7",158.27K,0.85%
"Sep 03, 2022",19831.4,"19,952.8","20,043.8","19,660.7",157.85K,-0.61%
"Sep 02, 2022",19952.7,"20,131.6","20,428.2","19,764.7",272.22K,-0.86%
"Sep 01, 2022",20126.1,"20,049.9","20,202.7","19,584.4",275.08K,0.41%
"Aug 31, 2022",20043.9,"19,793.4","20,469.1","19,793.4",318.17K,1.27%
"Aug 30, 2022",19792.6,"20,295.6","20,558.2","19,559.7",308.41K,-2.48%
"Aug 29, 2022",20295.8,"19,551.3","20,394.5","19,551.2",248.04K,3.81%
"Aug 28, 2022",19550.2,"20,034.2","20,150.8","19,542.9",159.60K,-2.41%
"Aug 27, 2022",20033.9,"20,249.9","20,343.6","19,849.8",187.34K,-1.07%
"Aug 26, 2022",20249.9,"21,564.2","21,815.3","20,122.4",322.16K,-6.10%
"Aug 25, 2022",21565.4,"21,365.4","21,801.2","21,324.8",190.15K,0.94%
"Aug 24, 2022",21365.2,"21,516.2","21,832.3","21,171.1",202.40K,-0.71%
"Aug 23, 2022",21517.2,"21,416.5","21,661.0","20,919.6",228.65K,0.47%
"Aug 22, 2022",21416.3,"21,516.8","21,517.4","20,912.1",251.83K,-0.47%
"Aug 21, 2022",21517.2,"21,138.9","21,692.4","21,077.4",177.52K,1.79%
"Aug 20, 2022",21138.9,"20,830.7","21,357.4","20,784.8",206.94K,1.48%
"Aug 19, 2022",20831.3,"23,201.6","23,202.3","20,807.8",339.47K,-10.22%
"Aug 18, 2022",23203.6,"23,337.7","23,578.0","23,131.3",160.97K,-0.58%
"Aug 17, 2022",23338.0,"23,855.8","24,423.5","23,191.6",239.53K,-2.17%
"Aug 16, 2022",23856.8,"24,102.6","24,240.8","23,693.8",201.70K,-1.02%
"Aug 15, 2022",24101.7,"24,303.3","25,205.7","23,784.5",279.28K,-0.83%
"Aug 14, 2022",24302.8,"24,442.1","24,997.3","24,172.2",177.25K,-0.57%
"Aug 13, 2022",24442.5,"24,398.9","24,882.9","24,318.7",170.59K,0.18%
"Aug 12, 2022",24398.7,"23,935.3","24,440.8","23,616.4",194.96K,1.94%
"Aug 11, 2022",23935.3,"23,963.3","24,873.5","23,864.0",285.36K,-0.12%
"Aug 10, 2022",23962.9,"23,150.3","24,209.9","22,714.7",243.61K,3.53%
"Aug 09, 2022",23146.7,"23,818.1","23,912.0","22,886.5",169.62K,-2.81%
"Aug 08, 2022",23816.3,"23,175.3","24,234.1","23,160.6",197.94K,2.77%
"Aug 07, 2022",23175.3,"22,944.2","23,387.7","22,852.3",99.36K,1.01%
"Aug 06, 2022",22944.2,"23,308.2","23,344.4","22,923.6",94.44K,-1.56%
"Aug 05, 2022",23308.2,"22,613.3","23,447.6","22,593.5",208.90K,3.08%
"Aug 04, 2022",22612.1,"22,822.2","23,214.5","22,438.7",181.19K,-0.91%
"Aug 03, 2022",22820.8,"22,988.7","23,623.7","22,698.6",174.66K,-0.73%
"Aug 02, 2022",22988.6,"23,271.1","23,423.3","22,670.8",177.30K,-1.21%
"Aug 01, 2022",23271.2,"23,303.4","23,484.4","22,863.8",162.33K,-0.14%
"Jul 31, 2022",23303.4,"23,634.2","24,179.3","23,236.2",138.84K,-1.40%
"Jul 30, 2022",23634.2,"23,774.2","24,605.3","23,521.8",168.72K,-0.59%
"Jul 29, 2022",23774.3,"23,850.2","24,340.0","23,451.4",221.66K,-0.32%
"Jul 28, 2022",23850.0,"22,957.7","24,190.5","22,611.6",268.32K,3.88%
"Jul 27, 2022",22958.3,"21,248.0","23,027.8","21,047.5",242.66K,8.05%
"Jul 26, 2022",21248.7,"21,301.6","21,322.3","20,737.3",201.57K,-0.25%
"Jul 25, 2022",21301.9,"22,582.3","22,653.3","21,275.4",206.93K,-5.67%
"Jul 24, 2022",22582.1,"22,449.8","22,987.9","22,281.3",126.66K,0.54%
"Jul 23, 2022",22460.4,"22,683.6","22,991.0","21,971.7",137.42K,-0.95%
"Jul 22, 2022",22675.2,"23,150.0","23,741.4","22,524.2",197.54K,-2.06%
"Jul 21, 2022",23153.0,"23,219.9","23,403.8","22,360.2",217.08K,-0.27%
"Jul 20, 2022",23215.2,"23,412.0","24,258.0","22,944.4",281.31K,-0.83%
"Jul 19, 2022",23410.2,"22,529.3","23,757.3","21,581.8",308.91K,3.93%
"Jul 18, 2022",22525.8,"20,785.6","22,714.9","20,770.6",279.72K,8.37%
"Jul 17, 2022",20785.6,"21,209.8","21,654.4","20,755.2",132.81K,-2.00%
"Jul 16, 2022",21209.9,"20,825.2","21,561.3","20,484.4",136.89K,1.85%
"Jul 15, 2022",20825.1,"20,586.1","21,178.1","20,393.4",164.67K,1.16%
"Jul 14, 2022",20586.0,"20,250.0","20,862.2","19,664.9",205.28K,1.66%
"Jul 13, 2022",20250.0,"19,331.6","20,250.8","18,942.2",249.38K,4.75%
"Jul 12, 2022",19330.9,"19,963.2","20,051.7","19,279.6",167.91K,-3.17%
"Jul 11, 2022",19963.2,"20,847.2","20,855.0","19,897.0",160.20K,-4.24%
"Jul 10, 2022",20847.4,"21,587.4","21,599.2","20,689.7",204.68K,-3.43%
"Jul 09, 2022",21587.5,"21,610.4","21,944.1","21,338.4",190.11K,-0.11%
"Jul 08, 2022",21611.2,"21,637.1","22,482.1","21,207.0",439.90K,-0.12%
"Jul 07, 2022",21637.8,"20,557.9","21,817.8","20,282.7",115.81K,5.24%
"Jul 06, 2022",20561.1,"20,180.4","20,654.9","19,785.3",105.24K,1.78%
"Jul 05, 2022",20200.6,"20,215.8","20,706.9","19,315.4",122.43K,-0.08%
"Jul 04, 2022",20215.8,"19,310.6","20,303.8","19,052.5",92.79K,4.69%
"Jul 03, 2022",19309.9,"19,243.4","19,626.4","18,794.4",65.27K,0.35%
"Jul 02, 2022",19243.2,"19,275.4","19,425.4","19,006.4",58.57K,-0.10%
"Jul 01, 2022",19262.9,"19,926.6","20,785.6","18,980.1",150.18K,-3.33%
"Jun 30, 2022",19926.6,"20,111.3","20,155.1","18,682.7",127.73K,-0.92%
"Jun 29, 2022",20111.3,"20,278.0","20,415.8","19,880.7",98.97K,-0.82%
"Jun 28, 2022",20278.0,"20,727.9","21,200.2","20,210.5",83.83K,-2.18%
"Jun 27, 2022",20730.2,"21,037.7","21,497.5","20,568.0",84.69K,-1.49%
"Jun 26, 2022",21043.5,"21,489.9","21,837.4","20,989.7",67.21K,-2.08%
"Jun 25, 2022",21489.9,"21,226.9","21,553.4","20,917.5",66.63K,1.24%
"Jun 24, 2022",21226.9,"21,100.9","21,488.7","20,743.9",104.56K,0.60%
"Jun 23, 2022",21100.7,"19,967.3","21,189.8","19,907.5",110.70K,5.68%
"Jun 22, 2022",19965.8,"20,720.2","20,864.3","19,780.2",125.94K,-3.64%
"Jun 21, 2022",20720.4,"20,571.6","21,689.3","20,371.7",136.32K,0.72%
"Jun 20, 2022",20572.3,"20,576.9","20,996.8","19,658.8",140.60K,-0.02%
"Jun 19, 2022",20577.2,"18,983.4","20,763.5","17,983.7",169.39K,8.38%
"Jun 18, 2022",18986.5,"20,446.4","20,744.7","17,630.5",267.25K,-7.13%
"Jun 17, 2022",20444.6,"20,391.3","21,315.4","20,244.1",136.27K,0.28%
"Jun 16, 2022",20386.6,"22,577.9","22,942.1","20,231.1",144.00K,-9.71%
"Jun 15, 2022",22577.9,"22,137.5","22,754.4","20,125.8",280.41K,1.90%
"Jun 14, 2022",22157.3,"22,449.1","23,200.3","20,860.9",251.01K,-1.29%
"Jun 13, 2022",22448.0,"26,606.3","26,857.6","22,006.3",379.26K,-15.63%
"Jun 12, 2022",26606.3,"28,404.0","28,534.8","26,606.3",120.02K,-6.33%
"Jun 11, 2022",28403.4,"29,083.3","29,426.6","28,161.8",82.92K,-2.34%
"Jun 10, 2022",29083.3,"30,097.4","30,325.6","28,884.9",104.26K,-3.37%
"Jun 09, 2022",30097.8,"30,202.1","30,691.4","29,953.8",61.72K,-0.34%
"Jun 08, 2022",30201.6,"31,127.2","31,312.1","29,874.8",87.96K,-2.98%
"Jun 07, 2022",31128.8,"31,370.3","31,556.6","29,235.0",140.32K,-0.76%
"Jun 06, 2022",31367.6,"29,911.2","31,753.4","29,888.6",94.01K,4.86%
"Jun 05, 2022",29913.0,"29,865.1","30,166.9","29,539.0",30.33K,0.16%
"Jun 04, 2022",29864.3,"29,700.9","29,963.8","29,489.5",33.51K,0.55%
"Jun 03, 2022",29700.9,"30,455.7","30,674.8","29,330.8",72.13K,-2.48%
"Jun 02, 2022",30455.5,"29,798.6","30,638.5","29,604.4",81.40K,2.20%
"Jun 01, 2022",29798.5,"31,793.1","31,969.9","29,396.6",135.09K,-6.27%
"May 31, 2022",31793.4,"31,730.2","32,377.5","31,221.2",86.60K,0.22%
"May 30, 2022",31723.3,"29,465.2","32,185.6","29,307.2",129.56K,7.66%
"May 29, 2022",29465.2,"29,027.1","29,556.5","28,838.7",36.87K,1.51%
"May 28, 2022",29027.1,"28,620.1","29,194.4","28,537.2",43.87K,1.49%
"May 27, 2022",28601.2,"29,194.0","29,377.1","28,282.2",116.41K,-2.06%
"May 26, 2022",29203.5,"29,537.9","29,868.9","28,077.9",126.71K,-1.14%
"May 25, 2022",29540.6,"29,648.7","30,202.3","29,353.5",78.85K,-0.36%
"May 24, 2022",29648.7,"29,091.6","29,810.8","28,706.1",79.42K,1.91%
"May 23, 2022",29093.3,"30,287.3","30,644.8","28,913.6",92.10K,-3.94%
"May 22, 2022",30286.6,"29,433.0","30,462.0","29,260.1",50.60K,2.89%
"May 21, 2022",29434.6,"29,188.7","29,623.2","28,953.9",32.27K,0.88%
"May 20, 2022",29178.6,"30,305.9","30,735.1","28,738.5",98.78K,-3.72%
"May 19, 2022",30305.9,"28,700.4","30,525.1","28,682.1",101.38K,5.66%
"May 18, 2022",28683.7,"30,437.5","30,687.9","28,648.1",92.03K,-5.76%
"May 17, 2022",30437.5,"29,856.7","30,720.1","29,484.5",79.63K,1.97%
"May 16, 2022",29849.0,"31,308.3","31,312.4","29,135.8",100.25K,-4.66%
"May 15, 2022",31308.7,"30,078.6","31,383.8","29,499.4",65.44K,4.08%
"May 14, 2022",30080.4,"29,285.2","30,277.4","28,666.7",70.46K,2.72%
"May 13, 2022",29284.4,"28,994.3","31,002.7","28,755.0",141.23K,1.06%
"May 12, 2022",28976.0,"29,073.4","30,136.7","26,500.5",309.48K,-0.32%
"May 11, 2022",29068.2,"31,008.0","32,113.6","27,835.5",296.90K,-6.25%
"May 10, 2022",31007.5,"30,098.2","32,621.2","29,831.0",235.61K,3.03%
"May 09, 2022",30095.0,"34,041.0","34,227.0","30,095.0",268.09K,-11.64%
"May 08, 2022",34060.0,"35,468.0","35,497.0","33,727.0",671.05M,-3.97%
"May 07, 2022",35468.0,"36,003.0","36,119.0","34,773.0",288.86M,-1.50%
"May 06, 2022",36009.0,"36,540.0","36,646.0","35,267.0",752.84M,-1.46%
"May 05, 2022",36544.0,"39,686.0","39,833.0","36,183.0",1.04B,-7.92%
"May 04, 2022",39688.0,"37,717.0","40,021.0","37,660.0",691.49M,5.22%
"May 03, 2022",37718.0,"38,515.0","38,647.0","37,513.0",367.21M,-2.07%
"May 02, 2022",38514.0,"38,472.0","39,134.0","38,061.0",580.79M,0.14%
"May 01, 2022",38461.0,"37,642.0","38,676.0","37,397.0",276.99M,2.15%
"Apr 30, 2022",37650.0,"38,590.0","38,776.0","37,596.0",248.22M,-2.41%
"Apr 29, 2022",38581.0,"39,748.0","39,919.0","38,175.0",382.90M,-2.94%
"Apr 28, 2022",39748.0,"39,243.0","40,382.0","38,888.0",542.39M,1.29%
"Apr 27, 2022",39243.0,"38,113.0","39,447.0","37,869.0",426.83M,2.96%
"Apr 26, 2022",38113.0,"40,443.0","40,770.0","37,708.0",681.47M,-5.72%
"Apr 25, 2022",40427.0,"39,464.0","40,599.0","38,233.0",654.60M,2.44%
"Apr 24, 2022",39464.0,"39,434.0","39,929.0","39,033.0",283.63M,0.12%
"Apr 23, 2022",39418.0,"39,709.0","39,973.0","39,291.0",190.60M,-0.73%
"Apr 22, 2022",39709.0,"40,487.0","40,792.0","39,200.0",421.30M,-1.91%
"Apr 21, 2022",40482.0,"41,370.0","42,969.0","39,793.0",493.05M,-2.14%
"Apr 20, 2022",41368.0,"41,499.0","42,203.0","40,915.0",382.84M,-0.33%
"Apr 19, 2022",41503.0,"40,809.0","41,746.0","40,585.0",268.28M,1.72%
"Apr 18, 2022",40803.0,"39,700.0","41,095.0","38,577.0",484.26M,2.77%
"Apr 17, 2022",39703.0,"40,382.0","40,599.0","39,561.0",210.01M,-1.68%
"Apr 16, 2022",40382.0,"40,571.0","40,691.0","40,003.0",151.31M,-0.44%
"Apr 15, 2022",40560.0,"39,936.0","40,850.0","39,781.0",233.09M,1.56%
"Apr 14, 2022",39936.0,"41,133.0","41,494.0","39,585.0",294.29M,-2.91%
"Apr 13, 2022",41133.0,"40,072.0","41,515.0","39,581.0",406.70M,2.63%
"Apr 12, 2022",40078.0,"39,507.0","40,678.0","39,265.0",468.27M,1.47%
"Apr 11, 2022",39497.0,"42,144.0","42,418.0","39,202.0",608.38M,-6.27%
"Apr 10, 2022",42138.0,"42,760.0","43,421.0","41,884.0",255.83M,-1.47%
"Apr 09, 2022",42767.0,"42,275.0","42,809.0","42,129.0",165.16M,1.16%
"Apr 08, 2022",42275.0,"43,450.0","43,979.0","42,113.0",467.83M,-2.70%
"Apr 07, 2022",43448.0,"43,166.0","43,893.0","42,747.0",390.85M,0.64%
"Apr 06, 2022",43173.0,"45,494.0","45,519.0","43,122.0",649.52M,-5.13%
"Apr 05, 2022",45506.0,"46,614.0","47,201.0","45,388.0",421.11M,-2.41%
"Apr 04, 2022",46629.0,"46,407.0","46,899.0","45,152.0",446.12M,0.48%
"Apr 03, 2022",46407.0,"45,813.0","47,435.0","45,554.0",398.86M,1.30%
"Apr 02, 2022",45811.0,"46,299.0","47,212.0","45,641.0",345.93M,-1.05%
"Apr 01, 2022",46297.0,"45,529.0","46,728.0","44,261.0",632.93M,1.70%
"Mar 31, 2022",45525.0,"47,071.0","47,624.0","45,228.0",520.00M,-3.29%
"Mar 30, 2022",47075.0,"47,449.0","47,714.0","46,601.0",467.76M,-0.79%
"Mar 29, 2022",47449.0,"47,126.0","48,127.0","47,029.0",478.82M,0.73%
"Mar 28, 2022",47105.0,"46,859.0","48,199.0","46,672.0",610.27M,0.52%
"Mar 27, 2022",46859.0,"44,542.0","46,947.0","44,445.0",388.79M,5.19%
"Mar 26, 2022",44548.0,"44,331.0","44,818.0","44,090.0",196.30M,0.49%
"Mar 25, 2022",44331.0,"44,013.0","45,112.0","43,622.0",494.09M,0.72%
"Mar 24, 2022",44013.0,"42,911.0","44,251.0","42,658.0",491.66M,2.57%
"Mar 23, 2022",42912.0,"42,373.0","43,027.0","41,795.0",433.96M,1.27%
"Mar 22, 2022",42373.0,"41,022.0","43,327.9","40,893.0",537.06M,3.29%
"Mar 21, 2022",41022.0,"41,282.0","41,532.0","40,530.0",406.62M,-0.62%
"Mar 20, 2022",41276.0,"42,241.0","42,301.0","40,922.0",308.45M,-2.27%
"Mar 19, 2022",42233.0,"41,768.0","42,386.0","41,529.6",224.59M,1.11%
"Mar 18, 2022",41767.8,"40,914.6","42,308.4","40,234.8",2.31B,2.08%
"Mar 17, 2022",40914.8,"41,118.7","41,406.0","40,557.8",1.90B,-0.50%
"Mar 16, 2022",41118.7,"39,282.5","41,701.6","38,953.2",4.47B,4.67%
"Mar 15, 2022",39285.7,"39,673.0","39,854.7","38,220.9",2.25B,-0.97%
"Mar 14, 2022",39671.1,"37,789.5","39,914.3","37,613.6",2.33B,4.97%
"Mar 13, 2022",37792.4,"38,813.2","39,272.3","37,603.4",1.55B,-2.63%
"Mar 12, 2022",38814.3,"38,730.2","39,355.3","38,666.5",1.11B,0.22%
"Mar 11, 2022",38730.2,"39,422.5","40,177.0","38,236.4",2.79B,-1.74%
"Mar 10, 2022",39416.3,"41,933.9","42,029.1","38,603.5",3.62B,-5.99%
"Mar 09, 2022",41929.0,"38,731.5","42,538.5","38,663.3",3.60B,8.22%
"Mar 08, 2022",38744.8,"38,020.6","39,351.5","37,886.6",2.67B,1.89%
"Mar 07, 2022",38024.8,"38,420.6","39,532.0","37,182.1",3.02B,-0.99%
"Mar 06, 2022",38403.1,"39,396.3","39,668.1","38,115.0",1.93B,-2.52%
"Mar 05, 2022",39395.8,"39,142.8","39,600.2","38,626.1",1.50B,0.65%
"Mar 04, 2022",39142.7,"42,463.0","42,848.7","38,594.9",3.21B,-7.82%
"Mar 03, 2022",42463.0,"43,912.8","44,077.2","41,840.8",74.11K,-3.30%
"Mar 02, 2022",43912.8,"44,420.3","45,294.2","43,361.3",80.82K,-1.14%
"Mar 01, 2022",44420.3,"43,187.2","44,900.5","42,876.6",90.67K,2.85%
"Feb 28, 2022",43188.2,"37,707.2","43,977.8","37,458.9",108.07K,14.59%
"Feb 27, 2022",37689.1,"39,116.6","39,838.5","37,062.3",66.14K,-3.65%
"Feb 26, 2022",39115.5,"39,221.6","40,094.5","38,639.1",41.55K,-0.24%
"Feb 25, 2022",39209.6,"38,339.2","39,683.7","38,042.6",83.78K,2.27%
"Feb 24, 2022",38339.2,"37,250.2","39,351.6","34,357.4",180.47K,2.99%
"Feb 23, 2022",37224.6,"38,248.2","39,194.5","37,099.5",64.84K,-2.68%
"Feb 22, 2022",38248.2,"37,018.3","38,414.9","36,399.6",82.75K,3.32%
"Feb 21, 2022",37017.7,"38,355.0","39,444.1","36,868.9",91.82K,-3.49%
"Feb 20, 2022",38355.0,"40,089.6","40,120.3","38,042.2",47.92K,-4.33%
"Feb 19, 2022",40090.3,"40,000.1","40,434.3","39,666.6",25.78K,0.23%
"Feb 18, 2022",40000.1,"40,532.5","40,935.5","39,505.0",64.96K,-1.36%
"Feb 17, 2022",40552.8,"43,885.5","44,167.1","40,103.8",72.63K,-7.59%
"Feb 16, 2022",43883.6,"44,540.9","44,552.9","43,377.6",41.40K,-1.48%
"Feb 15, 2022",44544.4,"42,550.3","44,722.6","42,460.1",56.34K,4.69%
"Feb 14, 2022",42550.3,"42,061.1","42,799.7","41,591.3",53.60K,1.16%
"Feb 13, 2022",42061.1,"42,205.5","42,725.1","41,880.1",25.88K,-0.34%
"Feb 12, 2022",42205.2,"42,388.4","43,006.4","41,776.8",37.88K,-0.43%
"Feb 11, 2022",42388.4,"43,519.3","43,915.1","42,023.4",69.95K,-2.60%
"Feb 10, 2022",43521.0,"44,388.9","45,755.2","43,242.5",89.69K,-1.96%
"Feb 09, 2022",44388.9,"44,038.2","44,800.4","43,163.0",50.92K,0.80%
"Feb 08, 2022",44038.2,"43,833.9","45,399.8","42,705.0",92.88K,0.47%
"Feb 07, 2022",43833.9,"42,385.2","44,468.3","41,695.4",76.60K,3.40%
"Feb 06, 2022",42392.2,"41,411.9","42,614.8","41,176.3",31.20K,2.37%
"Feb 05, 2022",41412.1,"41,566.5","41,899.8","40,963.3",46.32K,-0.37%
"Feb 04, 2022",41567.6,"37,287.8","41,689.0","37,041.1",95.49K,11.48%
"Feb 03, 2022",37287.8,"36,890.2","37,304.3","36,297.3",50.35K,1.08%
"Feb 02, 2022",36890.2,"38,711.2","38,853.8","36,682.3",53.74K,-4.70%
